@relation 6.roombooking-numeric-In

@attribute  roombooking numeric
@attribute dumy_label {dumy_label}

@data
5,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
5,dumy_label
2,dumy_label
4,dumy_label
4,dumy_label
2,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
2,dumy_label
2,dumy_label
0,dumy_label
5,dumy_label
1,dumy_label
4,dumy_label
5,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
5,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
2,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
2,dumy_label
3,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
5,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
3,dumy_label
4,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
3,dumy_label
4,dumy_label
4,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
4,dumy_label
0,dumy_label
5,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
2,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
5,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
5,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
4,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
0,dumy_label
5,dumy_label
2,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
5,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
1,dumy_label
5,dumy_label
5,dumy_label
2,dumy_label
5,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
2,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
5,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
2,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
5,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
5,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
5,dumy_label
3,dumy_label
1,dumy_label
4,dumy_label
2,dumy_label
5,dumy_label
1,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
5,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
3,dumy_label
5,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
2,dumy_label
2,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
2,dumy_label
1,dumy_label
5,dumy_label
4,dumy_label
4,dumy_label
5,dumy_label
4,dumy_label
4,dumy_label
4,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
5,dumy_label
5,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
5,dumy_label
2,dumy_label
1,dumy_label
2,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
3,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
2,dumy_label
5,dumy_label
5,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
3,dumy_label
4,dumy_label
4,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
3,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
1,dumy_label
5,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
5,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
4,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
5,dumy_label
0,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
3,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
4,dumy_label
3,dumy_label
1,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
4,dumy_label
5,dumy_label
5,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
5,dumy_label
3,dumy_label
2,dumy_label
4,dumy_label
5,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
2,dumy_label
2,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
3,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
2,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
3,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
5,dumy_label
0,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
3,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
2,dumy_label
0,dumy_label
5,dumy_label
3,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
1,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
2,dumy_label
1,dumy_label
3,dumy_label
5,dumy_label
2,dumy_label
5,dumy_label
3,dumy_label
2,dumy_label
2,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
3,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
2,dumy_label
2,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
5,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
2,dumy_label
2,dumy_label
4,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
2,dumy_label
2,dumy_label
3,dumy_label
2,dumy_label
4,dumy_label
2,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
2,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
5,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
5,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
3,dumy_label
3,dumy_label
1,dumy_label
4,dumy_label
3,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
3,dumy_label
5,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
1,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
2,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
1,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
4,dumy_label
5,dumy_label
4,dumy_label
2,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
5,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
2,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
5,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
2,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
5,dumy_label
1,dumy_label
3,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
2,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
3,dumy_label
2,dumy_label
1,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
0,dumy_label
1,dumy_label
0,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
2,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
2,dumy_label
2,dumy_label
3,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
0,dumy_label
3,dumy_label
1,dumy_label
4,dumy_label
4,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
4,dumy_label
1,dumy_label
4,dumy_label
2,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
3,dumy_label
1,dumy_label
0,dumy_label
4,dumy_label
3,dumy_label
3,dumy_label
4,dumy_label
5,dumy_label
0,dumy_label
0,dumy_label
5,dumy_label
4,dumy_label
0,dumy_label
2,dumy_label
0,dumy_label
4,dumy_label
0,dumy_label
3,dumy_label
4,dumy_label
0,dumy_label
1,dumy_label
4,dumy_label
0,dumy_label
4,dumy_label
1,dumy_label
1,dumy_label
