@relation 4.libweb-numeric-In

@attribute  libweb numeric
@attribute dumy_label {dumy_label}

@data
23,dumy_label
15,dumy_label
36,dumy_label
12,dumy_label
35,dumy_label
112,dumy_label
116,dumy_label
48,dumy_label
159,dumy_label
14,dumy_label
155,dumy_label
127,dumy_label
51,dumy_label
124,dumy_label
172,dumy_label
66,dumy_label
134,dumy_label
31,dumy_label
8,dumy_label
9,dumy_label
71,dumy_label
97,dumy_label
1,dumy_label
22,dumy_label
11,dumy_label
17,dumy_label
53,dumy_label
11,dumy_label
15,dumy_label
31,dumy_label
103,dumy_label
165,dumy_label
46,dumy_label
160,dumy_label
81,dumy_label
108,dumy_label
99,dumy_label
65,dumy_label
11,dumy_label
88,dumy_label
2,dumy_label
129,dumy_label
55,dumy_label
149,dumy_label
0,dumy_label
38,dumy_label
120,dumy_label
54,dumy_label
108,dumy_label
140,dumy_label
169,dumy_label
29,dumy_label
175,dumy_label
115,dumy_label
11,dumy_label
2,dumy_label
11,dumy_label
14,dumy_label
3,dumy_label
24,dumy_label
8,dumy_label
94,dumy_label
164,dumy_label
76,dumy_label
21,dumy_label
56,dumy_label
160,dumy_label
160,dumy_label
124,dumy_label
135,dumy_label
132,dumy_label
26,dumy_label
147,dumy_label
5,dumy_label
10,dumy_label
47,dumy_label
111,dumy_label
136,dumy_label
101,dumy_label
75,dumy_label
102,dumy_label
169,dumy_label
20,dumy_label
5,dumy_label
160,dumy_label
20,dumy_label
7,dumy_label
133,dumy_label
118,dumy_label
45,dumy_label
121,dumy_label
0,dumy_label
53,dumy_label
9,dumy_label
72,dumy_label
21,dumy_label
92,dumy_label
55,dumy_label
127,dumy_label
49,dumy_label
54,dumy_label
114,dumy_label
15,dumy_label
18,dumy_label
0,dumy_label
131,dumy_label
102,dumy_label
154,dumy_label
72,dumy_label
4,dumy_label
166,dumy_label
10,dumy_label
2,dumy_label
155,dumy_label
10,dumy_label
169,dumy_label
1,dumy_label
133,dumy_label
14,dumy_label
5,dumy_label
9,dumy_label
14,dumy_label
14,dumy_label
21,dumy_label
0,dumy_label
21,dumy_label
28,dumy_label
10,dumy_label
167,dumy_label
4,dumy_label
80,dumy_label
67,dumy_label
49,dumy_label
111,dumy_label
113,dumy_label
53,dumy_label
170,dumy_label
17,dumy_label
102,dumy_label
53,dumy_label
89,dumy_label
106,dumy_label
150,dumy_label
68,dumy_label
20,dumy_label
1,dumy_label
174,dumy_label
9,dumy_label
112,dumy_label
1,dumy_label
22,dumy_label
111,dumy_label
116,dumy_label
34,dumy_label
68,dumy_label
127,dumy_label
19,dumy_label
1,dumy_label
13,dumy_label
29,dumy_label
127,dumy_label
124,dumy_label
26,dumy_label
160,dumy_label
57,dumy_label
45,dumy_label
98,dumy_label
52,dumy_label
16,dumy_label
0,dumy_label
158,dumy_label
18,dumy_label
138,dumy_label
51,dumy_label
2,dumy_label
20,dumy_label
142,dumy_label
170,dumy_label
68,dumy_label
127,dumy_label
165,dumy_label
14,dumy_label
0,dumy_label
111,dumy_label
3,dumy_label
163,dumy_label
125,dumy_label
0,dumy_label
13,dumy_label
56,dumy_label
118,dumy_label
19,dumy_label
158,dumy_label
0,dumy_label
0,dumy_label
176,dumy_label
17,dumy_label
143,dumy_label
2,dumy_label
79,dumy_label
25,dumy_label
18,dumy_label
26,dumy_label
147,dumy_label
57,dumy_label
165,dumy_label
17,dumy_label
5,dumy_label
96,dumy_label
13,dumy_label
15,dumy_label
67,dumy_label
16,dumy_label
108,dumy_label
24,dumy_label
112,dumy_label
20,dumy_label
7,dumy_label
23,dumy_label
69,dumy_label
2,dumy_label
17,dumy_label
3,dumy_label
61,dumy_label
98,dumy_label
108,dumy_label
10,dumy_label
62,dumy_label
18,dumy_label
120,dumy_label
46,dumy_label
113,dumy_label
105,dumy_label
37,dumy_label
127,dumy_label
3,dumy_label
8,dumy_label
16,dumy_label
163,dumy_label
7,dumy_label
105,dumy_label
4,dumy_label
7,dumy_label
176,dumy_label
55,dumy_label
51,dumy_label
1,dumy_label
163,dumy_label
15,dumy_label
17,dumy_label
151,dumy_label
26,dumy_label
104,dumy_label
86,dumy_label
56,dumy_label
151,dumy_label
6,dumy_label
41,dumy_label
99,dumy_label
96,dumy_label
111,dumy_label
55,dumy_label
8,dumy_label
55,dumy_label
127,dumy_label
38,dumy_label
137,dumy_label
64,dumy_label
114,dumy_label
48,dumy_label
21,dumy_label
169,dumy_label
79,dumy_label
109,dumy_label
9,dumy_label
119,dumy_label
17,dumy_label
103,dumy_label
17,dumy_label
119,dumy_label
85,dumy_label
9,dumy_label
0,dumy_label
108,dumy_label
180,dumy_label
0,dumy_label
114,dumy_label
42,dumy_label
28,dumy_label
169,dumy_label
105,dumy_label
0,dumy_label
111,dumy_label
24,dumy_label
45,dumy_label
129,dumy_label
159,dumy_label
19,dumy_label
119,dumy_label
68,dumy_label
88,dumy_label
28,dumy_label
89,dumy_label
111,dumy_label
153,dumy_label
166,dumy_label
4,dumy_label
73,dumy_label
0,dumy_label
12,dumy_label
9,dumy_label
0,dumy_label
182,dumy_label
13,dumy_label
70,dumy_label
67,dumy_label
141,dumy_label
133,dumy_label
33,dumy_label
149,dumy_label
23,dumy_label
79,dumy_label
26,dumy_label
74,dumy_label
13,dumy_label
5,dumy_label
171,dumy_label
52,dumy_label
17,dumy_label
9,dumy_label
59,dumy_label
167,dumy_label
51,dumy_label
56,dumy_label
17,dumy_label
20,dumy_label
16,dumy_label
68,dumy_label
16,dumy_label
0,dumy_label
168,dumy_label
15,dumy_label
74,dumy_label
22,dumy_label
33,dumy_label
176,dumy_label
22,dumy_label
14,dumy_label
160,dumy_label
111,dumy_label
153,dumy_label
69,dumy_label
130,dumy_label
74,dumy_label
13,dumy_label
19,dumy_label
2,dumy_label
16,dumy_label
21,dumy_label
14,dumy_label
63,dumy_label
53,dumy_label
18,dumy_label
16,dumy_label
105,dumy_label
175,dumy_label
156,dumy_label
144,dumy_label
122,dumy_label
109,dumy_label
20,dumy_label
70,dumy_label
125,dumy_label
112,dumy_label
77,dumy_label
74,dumy_label
167,dumy_label
124,dumy_label
53,dumy_label
165,dumy_label
118,dumy_label
10,dumy_label
10,dumy_label
42,dumy_label
33,dumy_label
129,dumy_label
146,dumy_label
172,dumy_label
2,dumy_label
14,dumy_label
21,dumy_label
13,dumy_label
3,dumy_label
165,dumy_label
114,dumy_label
131,dumy_label
143,dumy_label
96,dumy_label
104,dumy_label
61,dumy_label
13,dumy_label
14,dumy_label
50,dumy_label
174,dumy_label
75,dumy_label
39,dumy_label
67,dumy_label
0,dumy_label
137,dumy_label
21,dumy_label
114,dumy_label
22,dumy_label
74,dumy_label
12,dumy_label
15,dumy_label
55,dumy_label
53,dumy_label
152,dumy_label
40,dumy_label
27,dumy_label
12,dumy_label
97,dumy_label
52,dumy_label
4,dumy_label
114,dumy_label
15,dumy_label
149,dumy_label
12,dumy_label
97,dumy_label
13,dumy_label
128,dumy_label
24,dumy_label
46,dumy_label
111,dumy_label
68,dumy_label
41,dumy_label
10,dumy_label
129,dumy_label
150,dumy_label
109,dumy_label
14,dumy_label
87,dumy_label
9,dumy_label
172,dumy_label
158,dumy_label
126,dumy_label
26,dumy_label
4,dumy_label
51,dumy_label
116,dumy_label
155,dumy_label
13,dumy_label
82,dumy_label
79,dumy_label
57,dumy_label
141,dumy_label
104,dumy_label
95,dumy_label
117,dumy_label
57,dumy_label
59,dumy_label
74,dumy_label
113,dumy_label
90,dumy_label
128,dumy_label
25,dumy_label
32,dumy_label
57,dumy_label
13,dumy_label
1,dumy_label
133,dumy_label
174,dumy_label
78,dumy_label
97,dumy_label
156,dumy_label
65,dumy_label
8,dumy_label
82,dumy_label
37,dumy_label
172,dumy_label
158,dumy_label
16,dumy_label
7,dumy_label
81,dumy_label
170,dumy_label
2,dumy_label
112,dumy_label
117,dumy_label
113,dumy_label
60,dumy_label
155,dumy_label
134,dumy_label
5,dumy_label
163,dumy_label
121,dumy_label
0,dumy_label
25,dumy_label
107,dumy_label
2,dumy_label
1,dumy_label
175,dumy_label
26,dumy_label
51,dumy_label
71,dumy_label
131,dumy_label
14,dumy_label
86,dumy_label
71,dumy_label
59,dumy_label
156,dumy_label
159,dumy_label
57,dumy_label
0,dumy_label
102,dumy_label
52,dumy_label
39,dumy_label
67,dumy_label
164,dumy_label
6,dumy_label
162,dumy_label
56,dumy_label
154,dumy_label
55,dumy_label
108,dumy_label
158,dumy_label
44,dumy_label
18,dumy_label
9,dumy_label
0,dumy_label
92,dumy_label
73,dumy_label
82,dumy_label
33,dumy_label
15,dumy_label
2,dumy_label
69,dumy_label
109,dumy_label
110,dumy_label
98,dumy_label
131,dumy_label
110,dumy_label
62,dumy_label
71,dumy_label
20,dumy_label
102,dumy_label
30,dumy_label
160,dumy_label
137,dumy_label
58,dumy_label
152,dumy_label
119,dumy_label
124,dumy_label
118,dumy_label
122,dumy_label
135,dumy_label
21,dumy_label
9,dumy_label
158,dumy_label
9,dumy_label
130,dumy_label
1,dumy_label
99,dumy_label
0,dumy_label
22,dumy_label
10,dumy_label
154,dumy_label
0,dumy_label
19,dumy_label
84,dumy_label
48,dumy_label
173,dumy_label
120,dumy_label
157,dumy_label
149,dumy_label
167,dumy_label
95,dumy_label
9,dumy_label
47,dumy_label
26,dumy_label
1,dumy_label
77,dumy_label
67,dumy_label
147,dumy_label
7,dumy_label
163,dumy_label
26,dumy_label
170,dumy_label
171,dumy_label
168,dumy_label
115,dumy_label
47,dumy_label
139,dumy_label
126,dumy_label
50,dumy_label
84,dumy_label
56,dumy_label
157,dumy_label
106,dumy_label
154,dumy_label
81,dumy_label
55,dumy_label
95,dumy_label
109,dumy_label
77,dumy_label
48,dumy_label
112,dumy_label
33,dumy_label
67,dumy_label
128,dumy_label
138,dumy_label
7,dumy_label
33,dumy_label
8,dumy_label
127,dumy_label
168,dumy_label
9,dumy_label
16,dumy_label
172,dumy_label
155,dumy_label
121,dumy_label
14,dumy_label
170,dumy_label
173,dumy_label
98,dumy_label
13,dumy_label
78,dumy_label
58,dumy_label
156,dumy_label
53,dumy_label
151,dumy_label
133,dumy_label
106,dumy_label
22,dumy_label
111,dumy_label
10,dumy_label
123,dumy_label
48,dumy_label
3,dumy_label
2,dumy_label
110,dumy_label
28,dumy_label
12,dumy_label
24,dumy_label
19,dumy_label
12,dumy_label
52,dumy_label
126,dumy_label
1,dumy_label
156,dumy_label
76,dumy_label
40,dumy_label
21,dumy_label
4,dumy_label
108,dumy_label
49,dumy_label
128,dumy_label
34,dumy_label
55,dumy_label
10,dumy_label
0,dumy_label
52,dumy_label
97,dumy_label
68,dumy_label
8,dumy_label
0,dumy_label
128,dumy_label
3,dumy_label
27,dumy_label
170,dumy_label
14,dumy_label
156,dumy_label
76,dumy_label
11,dumy_label
10,dumy_label
8,dumy_label
83,dumy_label
48,dumy_label
62,dumy_label
20,dumy_label
28,dumy_label
106,dumy_label
19,dumy_label
50,dumy_label
15,dumy_label
144,dumy_label
171,dumy_label
160,dumy_label
89,dumy_label
28,dumy_label
107,dumy_label
1,dumy_label
165,dumy_label
106,dumy_label
128,dumy_label
16,dumy_label
12,dumy_label
78,dumy_label
74,dumy_label
134,dumy_label
93,dumy_label
1,dumy_label
1,dumy_label
95,dumy_label
8,dumy_label
110,dumy_label
22,dumy_label
4,dumy_label
47,dumy_label
63,dumy_label
18,dumy_label
162,dumy_label
132,dumy_label
143,dumy_label
158,dumy_label
96,dumy_label
2,dumy_label
2,dumy_label
8,dumy_label
186,dumy_label
2,dumy_label
111,dumy_label
60,dumy_label
48,dumy_label
15,dumy_label
51,dumy_label
133,dumy_label
68,dumy_label
7,dumy_label
72,dumy_label
16,dumy_label
10,dumy_label
25,dumy_label
108,dumy_label
79,dumy_label
61,dumy_label
17,dumy_label
108,dumy_label
155,dumy_label
11,dumy_label
17,dumy_label
99,dumy_label
52,dumy_label
11,dumy_label
112,dumy_label
79,dumy_label
164,dumy_label
28,dumy_label
65,dumy_label
64,dumy_label
72,dumy_label
35,dumy_label
153,dumy_label
52,dumy_label
122,dumy_label
112,dumy_label
49,dumy_label
49,dumy_label
28,dumy_label
50,dumy_label
132,dumy_label
6,dumy_label
73,dumy_label
154,dumy_label
34,dumy_label
157,dumy_label
11,dumy_label
7,dumy_label
61,dumy_label
164,dumy_label
3,dumy_label
110,dumy_label
12,dumy_label
167,dumy_label
166,dumy_label
50,dumy_label
12,dumy_label
6,dumy_label
79,dumy_label
44,dumy_label
123,dumy_label
110,dumy_label
154,dumy_label
8,dumy_label
48,dumy_label
1,dumy_label
160,dumy_label
120,dumy_label
46,dumy_label
146,dumy_label
129,dumy_label
19,dumy_label
8,dumy_label
77,dumy_label
71,dumy_label
7,dumy_label
161,dumy_label
41,dumy_label
116,dumy_label
46,dumy_label
12,dumy_label
176,dumy_label
0,dumy_label
161,dumy_label
0,dumy_label
153,dumy_label
93,dumy_label
125,dumy_label
86,dumy_label
106,dumy_label
137,dumy_label
23,dumy_label
21,dumy_label
12,dumy_label
117,dumy_label
113,dumy_label
77,dumy_label
59,dumy_label
25,dumy_label
66,dumy_label
48,dumy_label
104,dumy_label
132,dumy_label
58,dumy_label
8,dumy_label
157,dumy_label
23,dumy_label
51,dumy_label
15,dumy_label
117,dumy_label
106,dumy_label
25,dumy_label
0,dumy_label
42,dumy_label
20,dumy_label
5,dumy_label
110,dumy_label
8,dumy_label
139,dumy_label
19,dumy_label
12,dumy_label
72,dumy_label
1,dumy_label
161,dumy_label
0,dumy_label
175,dumy_label
123,dumy_label
153,dumy_label
20,dumy_label
58,dumy_label
167,dumy_label
175,dumy_label
116,dumy_label
10,dumy_label
38,dumy_label
23,dumy_label
54,dumy_label
49,dumy_label
155,dumy_label
5,dumy_label
119,dumy_label
25,dumy_label
115,dumy_label
56,dumy_label
47,dumy_label
111,dumy_label
111,dumy_label
139,dumy_label
57,dumy_label
77,dumy_label
15,dumy_label
48,dumy_label
78,dumy_label
73,dumy_label
73,dumy_label
175,dumy_label
22,dumy_label
97,dumy_label
10,dumy_label
6,dumy_label
157,dumy_label
11,dumy_label
0,dumy_label
99,dumy_label
114,dumy_label
